Link hình ảnh;Mã SKU;Tên;Cân nặng(g);Chiều dài(cm);Chiều rộng(cm);Chiều cao(cm);Tên kho;Khu vực kho;Vị trí;Tổng số;Đơn hàng đã khóa;Toàn bộ kho khả dụng;Dự trữ chương trình;Đang vận tải;Tổng giá vốn hàng đang vận tải;Cảnh báo tồn kho;Dự báo bán hàng hàng ngày;Dự kiến số ngày có thể bán;Giá vốn bình quân gia quyền;Tổng giá vốn;Trạng thái bán hàng;Ngành hàng cấp 1;Ngành hàng cấp 2;Ngành hàng cấp 3;Loại SKU;Chú thích
https://res.bigseller.pro/sku/images/merchantsku/944484/423884_1754366215277.jpg?imageView2/1/w/300/h/300;1769;HATOMUGI Xịt Khoáng Reihaku Face Mist Lotion ý dĩ dưỡng ẩm và làm sáng da 250ml;0.00;0.00;0.00;0.00;VIE GROUP HCM;Default Piling Area;Default Shelf;0;0;0;0;0;0.00;0;0.00;--;54218.75;0.00;Ngừng bán;HATOMUGI;;;Single SKU;
https://res.bigseller.pro/sku/images/merchantsku/944484/464022_1754365908274.jpg?imageView2/1/w/300/h/300;1768;HATOMUGI Sữa tắm Moisturizing & Washing 800ml;0.00;0.00;0.00;0.00;VIE GROUP HCM;Default Piling Area;Default Shelf;0;0;0;0;0;0.00;0;0.00;--;74705.88;0.00;Ngừng bán;HATOMUGI;;;Single SKU;
https://res.bigseller.pro/sku/images/merchantsku/944484/217114_1754366310298.jpg?imageView2/1/w/300/h/300;1767;HATOMUGI Sữa Rửa Mặt The Medicated Facial Foam 130g (Xanh dương);0.00;0.00;0.00;0.00;VIE GROUP HCM;Default Piling Area;Default Shelf;4;0;4;0;0;0.00;0;0.57;7;34464.07;137856.28;Còn hàng;HATOMUGI;;;Single SKU;
https://res.bigseller.pro/sku/images/merchantsku/944484/960687_1754364218292.jpg?imageView2/1/w/300/h/300;1766;HATOMUGI Sữa Rửa Mặt Reihaku Hatomugi Facial Foam 170g;0.00;0.00;0.00;0.00;VIE GROUP HCM;Default Piling Area;Default Shelf;3;0;3;0;0;0.00;0;2.23;1;38576.84;115730.52;Còn hàng;HATOMUGI;;;Single SKU;
https://res.bigseller.pro/sku/images/merchantsku/944484/623374_1754365718406.jpg?imageView2/1/w/300/h/300;1765;HATOMUGI Sữa Rửa Mặt Cleansing & Facial Washing 130g;0.00;0.00;0.00;0.00;VIE GROUP HCM;Default Piling Area;Default Shelf;0;0;0;0;0;0.00;0;0.67;0;34538.35;0.00;Còn hàng;HATOMUGI;;;Single SKU;
https://res.bigseller.pro/sku/images/merchantsku/944484/726581_1754365911147.jpg?imageView2/1/w/300/h/300;1764;HATOMUGI Kem Dưỡng Moisturizing Conditioning The Milky 300g;0.00;0.00;0.00;0.00;VIE GROUP HCM;Default Piling Area;Default Shelf;0;0;0;0;0;0.00;0;0.00;--;84218.75;0.00;Ngừng bán;HATOMUGI;;;Single SKU;
https://res.bigseller.pro/sku/images/merchantsku/944484/698439_1754365720547.jpg?imageView2/1/w/300/h/300;1763;HATOMUGI Kem Chống Nắng Reihaku UV Care & Moisturizing Milky Gel SPF50+ PA++++ 80g;0.00;0.00;0.00;0.00;VIE GROUP HCM;Default Piling Area;Default Shelf;4;0;4;0;0;0.00;0;0.00;--;74528.85;298115.40;Còn hàng;HATOMUGI;;;Single SKU;
https://res.bigseller.pro/sku/images/merchantsku/944484/861346_1754364216739.jpg?imageView2/1/w/300/h/300;1762;HALLS XS Kẹo ngậm Không Đường Giúp Thơm Miệng, Giảm Ho, Đau Họng 12.6g - Watermelon;0.00;0.00;0.00;0.00;VIE GROUP HCM;Default Piling Area;Default Shelf;30;0;30;0;0;0.00;0;1.83;16;18274.30;548229.00;Còn hàng;HALLS;;;Single SKU;
https://res.bigseller.pro/sku/images/merchantsku/944484/301563_1754919948881.jpg?imageView2/1/w/300/h/300;1761;HALLS XS Kẹo ngậm Không Đường Giúp Thơm Miệng, Giảm Ho, Đau Họng 12.6g - Mixed Berry;0.00;0.00;0.00;0.00;VIE GROUP HCM;Default Piling Area;Default Shelf;52;0;52;0;0;0.00;0;1.93;26;18256.95;949361.40;Còn hàng;HALLS;;;Single SKU;
https://res.bigseller.pro/sku/images/merchantsku/944484/739749_1754366309025.jpg?imageView2/1/w/300/h/300;1760;HALLS XS Kẹo ngậm Không Đường Giúp Thơm Miệng, Giảm Ho, Đau Họng 12.6g - Mentholyptus;0.00;0.00;0.00;0.00;VIE GROUP HCM;Default Piling Area;Default Shelf;1;1;0;0;0;0.00;0;4.08;0;18600.48;18600.48;Còn hàng;HALLS;;;Single SKU;
https://res.bigseller.pro/sku/images/merchantsku/944484/742320_1754365904364.jpg?imageView2/1/w/300/h/300;1759;HALLS XS Kẹo ngậm Không Đường Giúp Thơm Miệng, Giảm Ho, Đau Họng 12.6g - Lime;0.00;0.00;0.00;0.00;VIE GROUP HCM;Default Piling Area;Default Shelf;22;0;22;0;0;0.00;0;2.20;10;18529.86;407656.92;Còn hàng;HALLS;;;Single SKU;
https://res.bigseller.pro/sku/images/merchantsku/944484/617000_1754365725074.jpg?imageView2/1/w/300/h/300;1758;HALLS Kẹo Ngậm Bạc Hà Thơm Miệng The Mát Sảng Khoái Thái Lan Thanh 9 Viên - YELLOW;0.00;0.00;0.00;0.00;VIE GROUP HCM;Default Piling Area;Default Shelf;0;0;0;0;0;0.00;0;0.00;--;4650.87;0.00;Còn hàng;HALLS;;;Single SKU;
https://res.bigseller.pro/sku/images/merchantsku/944484/027658_1754366221430.jpg?imageView2/1/w/300/h/300;1757;HALLS Kẹo Ngậm Bạc Hà Thơm Miệng The Mát Sảng Khoái Thái Lan Thanh 9 Viên - PINK;0.00;0.00;0.00;0.00;VIE GROUP HCM;Default Piling Area;Default Shelf;0;0;0;0;0;0.00;0;0.00;--;4650.00;0.00;Còn hàng;HALLS;;;Single SKU;
https://res.bigseller.pro/sku/images/merchantsku/944484/586846_1754365629979.jpg?imageView2/1/w/300/h/300;1756;HALLS Kẹo Ngậm Bạc Hà Thơm Miệng The Mát Sảng Khoái Thái Lan Thanh 9 Viên - GREEN;0.00;0.00;0.00;0.00;VIE GROUP HCM;Default Piling Area;Default Shelf;0;0;0;0;0;0.00;0;0.00;--;4650.69;0.00;Còn hàng;HALLS;;;Single SKU;
