Mã SKU;Tên;Thuộc tính phân loại;Danh mục;Xuất kho / Bán hàng;Lợi nhuận gộp hàng hóa đã giao;Tỷ suất Lợi nhuận gộp hàng hóa đã giao;Lượng bán xuất kho trung bình hàng ngày;Tồn kho khả dụng;Số ngày có thể bán;Đang vận tải;Cảnh báo tồn kho;Thời gian tạo;Link hình ảnh
2414;SUR-MEDIC+ Mặt nạ Age Control Multi Vita Mask 30g;;Chưa chọn danh mục;60;67515.6;0.056299999999999996;6;37;6;0;0;13/04/2026 21:53;https://res.bigseller.pro/sku/images/merchantsku/944484/375839_1755687784899.jpg?imageView2/1/w/300/h/300
2551;VASELINE Sáp Dưỡng Môi Lip Care KOREA 7g - Creme Brulle Vani;;Chưa chọn danh mục;60;321816.6;0.08650000000000001;6;11;1;0;0;13/04/2026 21:53;https://res.bigseller.pro/sku/images/merchantsku/944484/445288_1754365906365.jpg?imageView2/1/w/300/h/300
2552;VASELINE Sáp Dưỡng Môi Lip Care KOREA 7g - Original Không Mùi;;Chưa chọn danh mục;60;300449.4;0.0808;6;0;0;0;0;13/04/2026 21:53;https://res.bigseller.pro/sku/images/merchantsku/944484/824371_1755553283439.jpg?imageView2/1/w/300/h/300
2059;MARVIS Kem Đánh Răng Ý 85ml – Whitening Mint (Màu bạc);;Chưa chọn danh mục;59;1019221.37;0.1067;5.9;14;2;0;0;13/04/2026 21:53;https://res.bigseller.pro/sku/images/merchantsku/944484/966197_1754365905990.jpg?imageView2/1/w/300/h/300
2586;VICHY Dầu gội Dercos Technique Anti-Dandruff Ds Advanced To Oily Hair - 50ml (Xanh da dầu);;Chưa chọn danh mục;58;1745363.27;0.4108;5.8;6;1;0;0;13/04/2026 21:53;https://res.bigseller.pro/sku/images/merchantsku/944484/214530_1754365912583.jpg?imageView2/1/w/300/h/300
1669;FEMFRESH Dung Dịch Vệ Sinh Phụ Nữ Daily Intimate Wash Cam 250ml;;Chưa chọn danh mục;57;1641863.21;0.2321;5.7;37;6;0;24;13/04/2026 21:53;https://res.bigseller.pro/sku/images/merchantsku/944484/571086_1754364220887.jpg?imageView2/1/w/300/h/300
1353;CERAVE Sữa Rửa Mặt HYDRATING Cleanser - 236ml FRANCE;;Chưa chọn danh mục;56;869334.5;0.0647;5.6;13;2;0;0;13/04/2026 21:53;https://res.bigseller.pro/sku/images/merchantsku/944484/013712_1754366216280.jpg?imageView2/1/w/300/h/300
1165;AVENE Xịt Khoáng Thermal Spring Water - 300ml;;Chưa chọn danh mục;55;-810421.1;-0.0625;5.5;7;1;0;0;13/04/2026 21:53;https://res.bigseller.pro/sku/images/merchantsku/944484/253324_1754364221041.jpg?imageView2/1/w/300/h/300
1642;ETIAXIL Lăn khử mùi 15ml - Xanh;;Chưa chọn danh mục;54;2075263.86;0.19440000000000002;5.4;2;0;0;0;13/04/2026 21:53;https://res.bigseller.pro/sku/images/merchantsku/944484/314733_1754365814835.jpg?imageView2/1/w/300/h/300
2370;SIMPLE Sữa rửa mặt Moisturising Facial Wash 150ml [Xanh lá trắng];;Chưa chọn danh mục;54;310000;0.0711;5.4;12;2;0;0;13/04/2026 21:53;https://res.bigseller.pro/sku/images/merchantsku/944484/909267_1785901378995.jpg?imageView2/1/w/300/h/300
2030;LRP Tẩy Trang Effaclar Micellar Water For Oily Skin - 400ml (Xanh);;Chưa chọn danh mục;53;2295419.42;0.12300000000000001;5.3;32;6;0;0;13/04/2026 21:53;https://res.bigseller.pro/sku/images/merchantsku/944484/477666_1754365625525.jpg?imageView2/1/w/300/h/300
